,Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,player_id
0,1941,Notre Dame,Ind,,,9.0,70.0,123.0,56.9,1027.0,8.3,,,10.0,,0
1,1942,Notre Dame,Ind,,,,,,,,,,,,,0
2,1943,Notre Dame,Ind,,,10.0,25.0,36.0,69.4,512.0,14.2,14.8,10.0,4.0,258.4,0
3,Career,Notre Dame,,,,,95.0,159.0,59.7,1539.0,9.7,3.3,10.0,14.0,144.2,0
0,1983,Notre Dame,Ind,,QB,10.0,75.0,145.0,51.7,1061.0,7.3,6.0,4.0,6.0,114.0,1
1,1984,Notre Dame,Ind,,QB,10.0,140.0,232.0,60.3,1920.0,8.3,5.4,7.0,18.0,124.3,1
2,1985,Notre Dame,Ind,,QB,11.0,107.0,214.0,50.0,1335.0,6.2,3.8,3.0,13.0,94.9,1
3,1986,Notre Dame,Ind,,QB,11.0,151.0,259.0,58.3,2211.0,8.5,8.3,13.0,7.0,141.2,1
4,Career,Notre Dame,,,,,473.0,850.0,55.6,6527.0,7.7,6.0,27.0,44.0,120.3,1
0,*2017,Notre Dame,Ind,SO,QB,10.0,46.0,75.0,61.3,456.0,6.1,4.7,4.0,4.0,119.3,2
1,*2018,Notre Dame,Ind,JR,QB,10.0,214.0,314.0,68.2,2628.0,8.4,8.6,19.0,7.0,154.0,2
2,*2019,Notre Dame,Ind,SR,QB,13.0,240.0,399.0,60.2,3034.0,7.6,8.6,34.0,6.0,149.1,2
3,*2020,Notre Dame,ACC,SR,QB,12.0,228.0,353.0,64.6,2830.0,8.0,8.5,15.0,3.0,144.3,2
4,Career,Notre Dame,,,,,728.0,1141.0,63.8,8948.0,7.8,8.3,72.0,20.0,147.0,2
0,2007,Notre Dame,Ind,FR,QB,10.0,138.0,245.0,56.3,1254.0,5.1,4.6,7.0,6.0,103.9,3
1,*2008,Notre Dame,Ind,SO,QB,13.0,268.0,440.0,60.9,3172.0,7.2,6.6,25.0,17.0,132.5,3
2,2009,Notre Dame,Ind,JR,QB,12.0,289.0,425.0,68.0,3722.0,8.8,9.7,28.0,4.0,161.4,3
3,Career,Notre Dame,,,,,695.0,1110.0,62.6,8148.0,7.3,7.3,60.0,27.0,137.2,3
0,1972,Notre Dame,Ind,,QB,10.0,83.0,162.0,51.2,1163.0,7.2,4.8,8.0,12.0,113.0,4
1,1973,Notre Dame,Ind,,QB,10.0,60.0,113.0,53.1,882.0,7.8,6.8,8.0,6.0,131.4,4
2,1974,Notre Dame,Ind,,QB,11.0,122.0,215.0,56.7,1549.0,7.2,5.6,8.0,11.0,119.3,4
3,Career,Notre Dame,,,,,265.0,490.0,54.1,3594.0,7.3,5.7,24.0,29.0,120.0,4
0,1987,Notre Dame,Ind,,QB,11.0,16.0,24.0,66.7,248.0,10.3,3.7,1.0,4.0,133.9,5
1,1988,Notre Dame,Ind,,QB,11.0,16.0,25.0,64.0,144.0,5.8,2.2,0.0,2.0,96.4,5
2,*1990,Ohio State,Big Ten,,QB,12.0,15.0,26.0,57.7,195.0,7.5,6.3,3.0,2.0,143.4,5
3,*1991,Ohio State,Big Ten,,QB,12.0,79.0,153.0,51.6,1018.0,6.7,5.4,4.0,6.0,108.3,5
4,Career,Overall,,,,,126.0,228.0,55.3,1605.0,7.0,5.0,8.0,14.0,113.7,5
5,,Notre Dame,,,,,32.0,49.0,65.3,392.0,8.0,2.9,1.0,6.0,114.8,5
6,,Ohio State,,,,,94.0,179.0,52.5,1213.0,6.8,5.5,7.0,8.0,113.4,5
0,1951,Notre Dame,Ind,,QB,10.0,27.0,53.0,50.9,438.0,8.3,4.9,0.0,4.0,105.3,6
1,1952,Notre Dame,Ind,,QB,10.0,61.0,142.0,43.0,683.0,4.8,2.5,4.0,9.0,80.0,6
2,1953,Notre Dame,Ind,,QB,10.0,52.0,113.0,46.0,792.0,7.0,6.4,8.0,5.0,119.4,6
3,1954,Notre Dame,Ind,,QB,10.0,68.0,127.0,53.5,1160.0,9.1,7.6,6.0,7.0,134.8,6
4,Career,Notre Dame,,,,,208.0,435.0,47.8,3073.0,7.1,5.3,18.0,25.0,109.3,6
0,1966,Notre Dame,Ind,,QB,10.0,78.0,147.0,53.1,1247.0,8.5,6.5,8.0,10.0,128.7,7
1,1967,Notre Dame,Ind,,QB,10.0,110.0,206.0,53.4,1439.0,7.0,4.6,9.0,15.0,111.9,7
2,1968,Notre Dame,Ind,,QB,10.0,116.0,197.0,58.9,1466.0,7.4,6.4,10.0,9.0,129.0,7
3,Career,Notre Dame,,,,,304.0,550.0,55.3,4152.0,7.5,5.7,27.0,34.0,122.5,7
0,1962,Notre Dame,Ind,,QB,10.0,4.0,8.0,50.0,38.0,4.8,4.8,0.0,0.0,89.9,8
1,1963,Notre Dame,Ind,,QB,9.0,20.0,42.0,47.6,243.0,5.8,6.3,1.0,0.0,104.1,8
2,1964,Notre Dame,Ind,,QB,10.0,114.0,205.0,55.6,2062.0,10.1,9.2,16.0,11.0,155.1,8
3,Career,Notre Dame,,,,,138.0,255.0,54.1,2343.0,9.2,8.6,17.0,11.0,144.7,8
0,1957,Notre Dame,Ind,,QB,10.0,17.0,37.0,45.9,367.0,9.9,6.7,3.0,4.0,134.4,9
1,1958,Notre Dame,Ind,,QB,10.0,60.0,118.0,50.8,1067.0,9.0,6.4,9.0,11.0,133.3,9
2,1959,Notre Dame,Ind,,QB,10.0,44.0,95.0,46.3,661.0,7.0,2.1,6.0,13.0,98.2,9
3,Career,Notre Dame,,,,,121.0,250.0,48.4,2095.0,8.4,4.8,18.0,28.0,120.2,9
0,1996,Notre Dame,Ind,,QB,6.0,10.0,15.0,66.7,181.0,12.1,16.1,3.0,0.0,234.0,10
1,1997,Notre Dame,Ind,,QB,7.0,8.0,17.0,47.1,146.0,8.6,7.1,1.0,1.0,126.8,10
2,*1998,Notre Dame,Ind,,QB,11.0,104.0,188.0,55.3,1740.0,9.3,9.2,13.0,6.0,149.5,10
3,1999,Notre Dame,Ind,,QB,12.0,184.0,316.0,58.2,2753.0,8.7,7.8,17.0,14.0,140.3,10
4,Career,Notre Dame,,,,,306.0,536.0,57.1,4820.0,9.0,8.5,34.0,21.0,145.7,10
0,1982,Notre Dame,Ind,,QB,9.0,16.0,38.0,42.1,228.0,6.0,5.3,1.0,1.0,95.9,11
1,1984,Tulane,Ind,,QB,9.0,112.0,230.0,48.7,1341.0,5.8,4.2,8.0,12.0,98.7,11
2,1985,Tulane,Ind,,QB,9.0,175.0,306.0,57.2,1991.0,6.5,5.9,9.0,8.0,116.3,11
3,Career,Overall,,,,,303.0,574.0,52.8,3560.0,6.2,5.2,18.0,21.0,107.9,11
4,,Notre Dame,,,,,16.0,38.0,42.1,228.0,6.0,5.3,1.0,1.0,95.9,11
5,,Tulane,,,,,287.0,536.0,53.5,3332.0,6.2,5.2,17.0,20.0,108.8,11
0,1980,Notre Dame,Ind,,QB,11.0,48.0,124.0,38.7,531.0,4.3,2.5,0.0,5.0,66.6,12
1,1981,Notre Dame,Ind,,QB,11.0,67.0,151.0,44.4,936.0,6.2,4.1,7.0,10.0,98.5,12
2,1982,Notre Dame,Ind,,QB,11.0,118.0,219.0,53.9,1273.0,5.8,4.0,3.0,10.0,98.1,12
3,1983,Notre Dame,Ind,,QB,11.0,64.0,115.0,55.7,910.0,7.9,6.4,7.0,7.0,130.0,12
4,Career,Notre Dame,,,,,297.0,609.0,48.8,3650.0,6.0,4.2,17.0,32.0,97.8,12
0,*2015,Notre Dame,Ind,SO,QB,13.0,210.0,334.0,62.9,2880.0,8.6,8.5,21.0,10.0,150.1,13
1,2016,Notre Dame,Ind,JR,QB,12.0,212.0,361.0,58.7,2925.0,8.1,8.4,26.0,9.0,145.6,13
2,Career,Notre Dame,,,,,422.0,695.0,60.7,5805.0,8.4,8.5,47.0,19.0,147.7,13
0,1977,Notre Dame,Ind,,QB,2.0,,,,,,,,,,14
1,1978,Notre Dame,Ind,,QB,9.0,1.0,2.0,50.0,-4.0,-2.0,-2.0,0.0,0.0,33.2,14
2,1979,Notre Dame,Ind,,QB,2.0,1.0,1.0,100.0,17.0,17.0,37.0,1.0,0.0,572.8,14
3,Career,Notre Dame,,,,,2.0,3.0,66.7,13.0,4.3,11.0,1.0,0.0,213.1,14
0,1960,Notre Dame,Ind,,QB,10.0,15.0,31.0,48.4,242.0,7.8,0.5,0.0,5.0,81.7,15
1,1961,Notre Dame,Ind,,QB,10.0,20.0,52.0,38.5,300.0,5.8,3.1,2.0,4.0,84.2,15
2,1962,Notre Dame,Ind,,QB,10.0,64.0,128.0,50.0,821.0,6.4,4.9,6.0,7.0,108.4,15
3,Career,Notre Dame,,,,,99.0,211.0,46.9,1363.0,6.5,3.8,8.0,16.0,98.5,15
0,1976,Notre Dame,Ind,,QB,6.0,16.0,41.0,39.0,267.0,6.5,5.3,2.0,2.0,100.1,16
1,1977,Notre Dame,Ind,,QB,10.0,51.0,94.0,54.3,568.0,6.0,4.4,6.0,6.0,113.3,16
2,1979,Notre Dame,Ind,,QB,10.0,108.0,208.0,51.9,1781.0,8.6,6.8,4.0,10.0,120.6,16
3,Career,Notre Dame,,,,,175.0,343.0,51.0,2616.0,7.6,6.0,12.0,18.0,116.1,16
0,1989,Notre Dame,Ind,,QB,12.0,15.0,30.0,50.0,180.0,6.0,4.5,0.0,1.0,93.7,17
1,1990,Notre Dame,Ind,,QB,11.0,110.0,200.0,55.0,1824.0,9.1,8.6,8.0,6.0,138.8,17
2,1991,Notre Dame,Ind,,QB,12.0,132.0,234.0,56.4,2117.0,9.0,8.7,18.0,10.0,149.2,17
3,1992,Notre Dame,Ind,,QB,11.0,120.0,234.0,51.3,1876.0,8.0,8.1,15.0,6.0,134.7,17
4,Career,Notre Dame,,,,,377.0,698.0,54.0,5997.0,8.6,8.3,41.0,23.0,139.0,17
0,1975,Notre Dame,Ind,,QB,7.0,28.0,66.0,42.4,507.0,7.7,3.4,4.0,8.0,102.7,18
1,1977,Notre Dame,Ind,,QB,9.0,99.0,189.0,52.4,1604.0,8.5,7.7,11.0,8.0,134.4,18
2,1978,Notre Dame,Ind,,QB,11.0,141.0,260.0,54.2,2010.0,7.7,6.9,10.0,9.0,124.9,18
3,Career,Notre Dame,,,,,268.0,515.0,52.0,4121.0,8.0,6.8,25.0,25.0,125.6,18
0,2003,Notre Dame,Ind,FR,QB,12.0,157.0,332.0,47.3,1831.0,5.5,4.0,9.0,15.0,93.5,19
1,*2004,Notre Dame,Ind,SO,QB,12.0,191.0,353.0,54.1,2586.0,7.3,7.0,17.0,10.0,125.9,19
2,*2005,Notre Dame,Ind,JR,QB,12.0,292.0,450.0,64.9,3919.0,8.7,9.4,32.0,7.0,158.4,19
3,*2006,Notre Dame,Ind,SR,QB,13.0,289.0,467.0,61.9,3426.0,7.3,8.2,37.0,7.0,146.7,19
4,Career,Notre Dame,,,,,929.0,1602.0,58.0,11762.0,7.3,7.4,95.0,39.0,134.4,19
0,1945,Notre Dame,Ind,,QB,10.0,9.0,30.0,30.0,203.0,6.8,,,5.0,,20
1,1946,Notre Dame,Ind,,QB,9.0,8.0,18.0,44.4,114.0,6.3,2.4,1.0,2.0,93.8,20
