,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,player_id,1D,Awards,QBR
0,1946,25,LAD,qb,65.0,12,3,,67,127,52.8,917,7,5.5,14,11.0,0,7.2,3.4,13.7,76.4,54.9,,,,,,0,0,,0,,,
1,1947,26,CHR,,66.0,1,0,,2,7,28.6,-5,0,0.0,2,28.6,0,-0.7,-13.6,-2.5,-5.0,0.0,,,,,,0,0,,0,,,
2,1948,27,CHR,,66.0,3,2,,7,32,21.9,60,1,3.1,3,9.4,0,1.9,-1.7,8.6,20.0,10.9,,,,,,0,0,,0,,,
3,Career,Career,,,,16,5,,76,166,45.8,972,8,4.8,19,11.4,0,5.9,1.7,12.8,60.8,41.1,,,,,,0,0,,0,,,
4,2 yrs,2 yrs,CHR,,,4,2,,9,39,23.1,55,1,2.6,5,12.8,0,1.4,-3.8,6.1,13.8,8.5,,,,,,0,0,,0,,,
5,1 yr,1 yr,LAD,,,12,3,,67,127,52.8,917,7,5.5,14,11.0,0,7.2,3.4,13.7,76.4,54.9,,,,,,0,0,,0,,,
0,1988,23,RAI,qb,7,10,8,4-4-0,105,238,44.1,1643,8,3.4,7,2.9,57,6.9,6.3,15.6,164.3,66.6,26,215,9.8,5.41,4.82,0,1,6,1,,,
1,1989,24,RAI,qb,7,10,7,4-3-0,108,217,49.8,1677,13,6,9,4.1,67,7.7,7.1,15.5,167.7,78.4,22,175,9.2,6.28,5.68,2,3,6,1,,,
2,1990,,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,Missed season - Contract dispute,1,Missed season - Contract dispute,Missed season - Contract dispute,
3,1991,26,DAL,,7,8,4,4-0-0,68,137,49.6,909,5,3.6,2,1.5,66,6.6,6.7,13.4,113.6,77.2,6,49,4.2,6.01,6.08,2,2,3,1,,,
4,1992,27,DAL,,7,16,0,,12,18,66.7,152,0,0,1,5.6,27,8.4,5.9,12.7,9.5,69.7,0,0,0,8.44,5.94,,,1,1,,,
5,1993,28,PHO,QB,7,16,14,6-8-0,258,418,61.7,3164,18,4.3,17,4.1,65,7.6,6.6,12.3,197.8,82.5,29,206,6.5,6.62,5.71,1,1,11,1,,,
6,1994,29,ARI,qb,7,9,7,3-4-0,130,255,51,1545,5,2,9,3.5,63,6.1,4.9,11.9,171.7,61.6,20,129,7.3,5.15,4.04,2,2,3,1,84,,
7,1995,30,JAX,qb,7,7,6,1-5-0,71,142,50,952,4,2.8,7,4.9,71,6.7,5.0,13.4,136.0,60.5,17,103,10.7,5.34,3.86,,,3,1,47,,
8,1996,31,CAR,,7,8,4,3-1-0,69,123,56.1,879,8,6.5,2,1.6,40,7.1,7.7,12.7,109.9,93.5,18,136,12.8,5.27,5.77,1,1,3,1,42,,
9,1997,32,CAR,qb,7,7,3,1-2-0,89,153,58.2,1032,6,3.9,3,2,52,6.7,6.6,11.6,147.4,83.6,17,111,10,5.42,5.33,1,1,4,1,52,,
10,1998,33,CAR,QB,7,12,12,4-8-0,216,343,63,2613,17,5,12,3.5,68,7.6,7.0,12.1,217.8,88.2,44,251,11.4,6.10,5.59,1,1,9,1,124,,
11,1999*,34,CAR,QB,7,16,16,8-8-0,343,571,60.1,4436,36,6.3,15,2.6,88,7.8,7.8,12.9,277.3,94.6,50,280,8.1,6.69,6.76,1,1,19,1,208,PB,
12,2000,35,CAR,QB,7,16,16,7-9-0,324,533,60.8,3730,19,3.6,18,3.4,54,7.0,6.2,11.5,233.1,79.7,62,331,10.4,5.71,4.99,2,2,12,1,198,,
13,2002,37,DEN,,11,8,3,1-2-0,68,117,58.1,925,6,5.1,5,4.3,52,7.9,7.0,13.6,115.6,82.7,12,78,9.3,6.57,5.75,,,3,1,43,,
14,2003,38,DEN,,11,4,2,1-1-0,33,63,52.4,389,2,3.2,5,7.9,38,6.2,3.2,11.8,97.3,49.0,9,60,12.5,4.57,2.00,0,1,2,1,18,,
15,Career,Career,,,,147,102,47-55-0,1894,3328,56.9,24046,147,4.4,112,3.4,88,7.2,6.6,12.7,163.6,80.3,332,2124,9.1,5.99,5.42,13,16,85,1,816,,
16,5 yrs,5 yrs,CAR,,,59,51,23-28-0,1041,1723,60.4,12690,86,5,50,2.9,88,7.4,7.1,12.2,215.1,87.7,191,1109,10,6.05,5.77,6,6,47,1,624,,
17,2 yrs,2 yrs,ARI-PHO,,,25,21,9-12-0,388,673,57.7,4709,23,3.4,26,3.9,65,7.0,5.9,12.1,188.4,74.6,49,335,6.8,6.06,5.07,3,3,14,1,84,,
18,2 yrs,2 yrs,DAL,,,24,4,4-0-0,80,155,51.6,1061,5,3.2,3,1.9,66,6.8,6.6,13.3,44.2,76.3,6,49,3.7,6.29,6.07,2,2,4,1,0,,
